Data Escala de Tempo 1 CDH Simp 4;Data Escala de Tempo 1 CDH Simp 4;região;serie1;serie2;serie3 
01/01/2019 00:00;01/01/2019 00:00;Sudeste/Centro-Oeste;31079;43703;50567
01/01/2019 01:00;01/01/2019 01:00;Sudeste/Centro-Oeste;31009;45838;47791
01/01/2019 02:00;01/01/2019 02:00;Sudeste/Centro-Oeste;30681;46994;44564
01/01/2019 03:00;01/01/2019 03:00;Sudeste/Centro-Oeste;29991;47109;43658
01/01/2019 04:00;01/01/2019 04:00;Sudeste/Centro-Oeste;29429;47018;46686
01/01/2019 05:00;01/01/2019 05:00;Sudeste/Centro-Oeste;28944;48635;47827
01/01/2019 06:00;01/01/2019 06:00;Sudeste/Centro-Oeste;27592;49535;48006
01/01/2019 07:00;01/01/2019 07:00;Sudeste/Centro-Oeste;26771;49695;46489
01/01/2019 08:00;01/01/2019 08:00;Sudeste/Centro-Oeste;27493;49202;44039
01/01/2019 09:00;01/01/2019 09:00;Sudeste/Centro-Oeste;28540;46627;41851
01/01/2019 10:00;01/01/2019 10:00;Sudeste/Centro-Oeste;29407;43538;40346
01/01/2019 11:00;01/01/2019 11:00;Sudeste/Centro-Oeste;30097;42651;39455
01/01/2019 12:00;01/01/2019 12:00;Sudeste/Centro-Oeste;30189;46022;39196
01/01/2019 13:00;01/01/2019 13:00;Sudeste/Centro-Oeste;29735;47089;39739
01/01/2019 14:00;01/01/2019 14:00;Sudeste/Centro-Oeste;29515;47093;40611
01/01/2019 15:00;01/01/2019 15:00;Sudeste/Centro-Oeste;29638;45180;42420
01/01/2019 16:00;01/01/2019 16:00;Sudeste/Centro-Oeste;30105;42520;45658
01/01/2019 17:00;01/01/2019 17:00;Sudeste/Centro-Oeste;30576;40183;47698
01/01/2019 18:00;01/01/2019 18:00;Sudeste/Centro-Oeste;31301;38885;48937
01/01/2019 19:00;01/01/2019 19:00;Sudeste/Centro-Oeste;32670;37989;48870
01/01/2019 20:00;01/01/2019 20:00;Sudeste/Centro-Oeste;36776;37577;48952
01/01/2019 21:00;01/01/2019 21:00;Sudeste/Centro-Oeste;37599;37986;50537
01/01/2019 22:00;01/01/2019 22:00;Sudeste/Centro-Oeste;37172;38688;51199
01/01/2019 23:00;01/01/2019 23:00;Sudeste/Centro-Oeste;35785;40757;50958
02/01/2019 00:00;02/01/2019 00:00;Sudeste/Centro-Oeste;33811;43922;49399
02/01/2019 01:00;02/01/2019 01:00;Sudeste/Centro-Oeste;32156;45946;46574
02/01/2019 02:00;02/01/2019 02:00;Sudeste/Centro-Oeste;31020;47376;43587
02/01/2019 03:00;02/01/2019 03:00;Sudeste/Centro-Oeste;30382;47333;43080
02/01/2019 05:00;02/01/2019 05:00;Sudeste/Centro-Oeste;31051;47177;45862
02/01/2019 06:00;02/01/2019 06:00;Sudeste/Centro-Oeste;31754;48689;46418
02/01/2019 07:00;02/01/2019 07:00;Sudeste/Centro-Oeste;33390;49622;46170
02/01/2019 08:00;02/01/2019 08:00;Sudeste/Centro-Oeste;36361;49821;44572
02/01/2019 09:00;02/01/2019 09:00;Sudeste/Centro-Oeste;38541;49190;42573
02/01/2019 10:00;02/01/2019 10:00;Sudeste/Centro-Oeste;40038;46744;40601
02/01/2019 11:00;02/01/2019 11:00;Sudeste/Centro-Oeste;40727;43730;39169
02/01/2019 12:00;02/01/2019 12:00;Sudeste/Centro-Oeste;41153;42856;38276
02/01/2019 13:00;02/01/2019 13:00;Sudeste/Centro-Oeste;42328;46073;37738
02/01/2019 14:00;02/01/2019 14:00;Sudeste/Centro-Oeste;42870;47015;37743
02/01/2019 15:00;02/01/2019 15:00;Sudeste/Centro-Oeste;42998;46728;37549
02/01/2019 17:00;02/01/2019 17:00;Sudeste/Centro-Oeste;41463;45090;37605
02/01/2019 18:00;02/01/2019 18:00;Sudeste/Centro-Oeste;39485;42389;39594
02/01/2019 19:00;02/01/2019 19:00;Sudeste/Centro-Oeste;39323;40159;41224
02/01/2019 20:00;02/01/2019 20:00;Sudeste/Centro-Oeste;42728;38718;42085
02/01/2019 21:00;02/01/2019 21:00;Sudeste/Centro-Oeste;43565;37933;42325
02/01/2019 22:00;02/01/2019 22:00;Sudeste/Centro-Oeste;43162;37586;42286
02/01/2019 23:00;02/01/2019 23:00;Sudeste/Centro-Oeste;41295;38073;42410
03/01/2019 00:00;03/01/2019 00:00;Sudeste/Centro-Oeste;38978;38789;42557
03/01/2019 01:00;03/01/2019 01:00;Sudeste/Centro-Oeste;36861;40820;42482
03/01/2019 02:00;03/01/2019 02:00;Sudeste/Centro-Oeste;35456;44043;42319
03/01/2019 03:00;03/01/2019 03:00;Sudeste/Centro-Oeste;34699;46097;42130
03/01/2019 04:00;03/01/2019 04:00;Sudeste/Centro-Oeste;34450;47574;41784
03/01/2019 05:00;03/01/2019 05:00;Sudeste/Centro-Oeste;34853;47562;41791
